Name,Year,Author,User Rating,Reviews,Price ($),Genre
10-Day Green Smoothie Cleanse,2009.0,J.J. Smith,4.1,39150.0,41.0,Fiction
10-Day Green Smoothie Cleanse,2010.0,J.J. Smith,3.9,26952.0,36.0,Fiction
10-Day Green Smoothie Cleanse,2011.0,J.J. Smith,4.55,54481.0,30.0,Fiction
10-Day Green Smoothie Cleanse,2014.0,J.J. Smith,4.25,88283.0,40.5,Fiction
10-Day Green Smoothie Cleanse,2015.0,J.J. Smith,3.7,48242.0,24.0,Fiction
10-Day Green Smoothie Cleanse,2016.0,J.J. Smith,4.35,57700.0,20.0,Fiction
10-Day Green Smoothie Cleanse,2017.0,J.J. Smith,4.7,86481.0,26.0,Fiction
10-Day Green Smoothie Cleanse,2018.0,J.J. Smith,4.3,27047.0,49.0,Fiction
10-Day Green Smoothie Cleanse,2019.0,J.J. Smith,3.7,22505.0,13.0,Fiction
11/22/63: A Novel,2010.0,Stephen King,4.4,91705.0,17.5,Fiction
11/22/63: A Novel,2011.0,Stephen King,4.3,197006.0,18.0,Fiction
11/22/63: A Novel,2012.0,Stephen King,4.3,4134.0,15.0,Fiction
11/22/63: A Novel,2013.0,Stephen King,3.9,39527.0,22.5,Fiction
11/22/63: A Novel,2014.0,Stephen King,3.8,95618.0,13.0,Fiction
11/22/63: A Novel,2015.0,Stephen King,4.2,56582.0,24.0,Fiction
11/22/63: A Novel,2018.0,Stephen King,4.05,9070.0,14.0,Fiction
11/22/63: A Novel,2019.0,Stephen King,4.2,27498.0,24.5,Fiction
12 Rules For Life: An Antidote To Chaos,2010.0,Jordan B. Peterson,4.45,47002.0,23.0,Fiction
12 Rules For Life: An Antidote To Chaos,2011.0,Jordan B. Peterson,4.5,56011.0,26.0,Fiction
12 Rules For Life: An Antidote To Chaos,2012.0,Jordan B. Peterson,4.1,26615.0,32.0,Fiction
12 Rules For Life: An Antidote To Chaos,2013.0,Jordan B. Peterson,3.8,30574.0,26.0,Fiction
12 Rules For Life: An Antidote To Chaos,2014.0,Jordan B. Peterson,4.1,110446.0,27.5,Fiction
12 Rules For Life: An Antidote To Chaos,2015.0,Jordan B. Peterson,4.3,8176.0,23.0,Fiction
12 Rules For Life: An Antidote To Chaos,2016.0,Jordan B. Peterson,4.65,56831.0,29.0,Fiction
12 Rules For Life: An Antidote To Chaos,2017.0,Jordan B. Peterson,4.25,4131.0,26.0,Fiction
12 Rules For Life: An Antidote To Chaos,2018.0,Jordan B. Peterson,4.15,80726.0,25.5,Fiction
1984 (Signet Classics),2009.0,George Orwell,4.05,39865.0,30.5,Non Fiction
