Name,Author,User Rating,Reviews,Price,Year,Genre
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350.0,8.0,2016.0,Non Fiction
,Stephen King,4.6,2052.0,$22.00,2011.0,Fiction
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979.0,15.0,2018.0,Non Fiction
1984 (Signet Classics),George Orwell,4.7,21424.0,6.0,2017.0,Fiction
,National Geographic Kids,4.8,7665.0,12.0,2019.0,Non Fiction
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643.0,11.0,2011.0,Fiction
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,,30.0,2014.0,Fiction
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699.0,15.0,2017.0,Fiction
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,,3.0,,Non Fiction
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848.0,8.0,2016.0,Fitcion
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848.0,8.0,2017.0,Fiction
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460.0,2.0,2010.0,Non Fiction
A Stolen Life: A Memoir,,4.6,4149.0,,2011.0,Non Fiction
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153.0,5.0,2018.0,Fiction
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,,,17.0,2009.0,Non Fiction
,Adult Coloring Book Designs,4.5,2313.0,4.0,,Non Fiction
Adult Coloring Book: Stress Relieving Animal Designs,,4.6,2925.0,6.0,2015.0,Non Fiction
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951.0,6.0,2015.0,Non Fiction
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,,$8.00,,Non Fiction
Alexander Hamilton,Ron Chernow,,9198.0,13.0,2016.0,Non Fiction
lAl the Light We Cannot See,,4.6,36348.0,14.0,2014.0,Fiction
All the Light We Cannot See,Anthony Doerr,,36348.0,$14.00,2015.0,Ficiton
Allegiant,,3.9,6310.0,13.0,2013.0,Fiction
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921.0,,2015.0,
And the Mountains Echoed,,4.3,12159.0,13.0,2013.0,Fiction
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798.0,5.0,2009.0,Non Fiction
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374.0,9.0,2017.0,Non Fiction
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491.0,,2010.0,Non Fiction
Baby Touch and Feel: Animals,DK,,5360.0,5.0,2015.0,Non Fiction
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909.0,$11.00,"$2,015.00",Non Fiction
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296.0,24.0,2012.0,Non Fiction
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615.0,21.0,,Non Fiction
Becoming,Michell eObama,4.8,61133.0,$11.00,2018.0,Non Fiction
Becoming,Michelle Obama,4.8,61133.0,11.0,2019.0,Non Fiction
Being Mortal :Medicine and What Matters in the End,Atul Gawande,4.8,11113.0,15.0,2015.0,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.7,10070.0,13.0,2015.0,Non Fiction
Between the World and Me,Ta-Nehisi Coates,4.7,10070.0,13.0,2016.0,Non Fiction
Born to Run,Bruce Springsteen,4.7,3729.0,,2016.0,Non Fcition
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769.0,13.0,2009.0,Fiction
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471.0,8.0,2010.0,Non Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344.0,,2017.0,Fictoin
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,,14344.0,5.0,2019.0,Fiction
,Jeff Kinney,4.8,4505.0,0.0,2011.0,
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasah O'Hara,4.6,10369.0,4.0,2016.0,Non Fiction
Can't Hurt Me: Master Your Mind and Defy the Odds,DavidG oggins,,16244.0,18.0,"$2,019.00",Non Fiction
Capital in the Twenty First Century,Thomas Piketty,4.5,2884.0,28.0,2014.0,Non Fiction
Catching Fire (The Hunger Games),Suzanne Collins,,22614.0,11.0,2010.0,Fiction
Catching Fire (The Hunger Games),,4.7,22614.0,11.0,2011.0,Fiction
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614.0,11.0,2012.0,Fiction
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,,4761.0,16.0,2016.0,oNn Fiction
,Francis Chan,4.7,1542.0,14.0,2009.0,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542.0,,2010.0,Non Fiction
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542.0,14.0,2011.0,Non Fiction
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143.0,8.0,,Fiction
,Marjorie Sarnat,4.8,4022.0,4.0,2015.0,Non Fiction
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,,3871.0,5.0,2015.0,Non Fiction
Cutting for Stone,Abraham Verghese,,4866.0,11.0,,Fiction
Cutting forS tone,,4.6,"$4,866.00",11.0,2011.0,Fiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329.0,10.0,2013.0,Non Fiction
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642.0,13.0,2013.0,Non Fiction
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541.0,4.0,2009.0,Fiction
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924.0,8.0,2010.0,Fiction
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,2094.0,4.0,,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922.0,5.0,2015.0,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922.0,5.0,2016.0,Fiction
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,10922.0,5.0,2017.0,Fiction
Dear Zoo: A Lift-the-Flap Book,,4.8,10922.0,5.0,2018.0,Fiction
Decision Points,George W. Bush,4.6,2137.0,17.0,2010.0,Non Fiction
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651.0,15.0,2010.0,Non Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679.0,105.0,2013.0,Non Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679.0,105.0,2014.0,Non Fiction
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,,6812.0,0.0,,Fiction
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837.0,15.0,2009.0,Fiction
,Jeff Kinney,4.8,,22.0,,Fiction
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955.0,5.0,"$2,019.00",Non Fiction
Divergent,Veronica Roth,4.6,27098.0,15.0,2013.0,
Divergent,Veronica Roth,4.6,27098.0,15.0,2014.0,Fiction
Divergent / Insurgent,Veronica Roth,4.5,17684.0,6.0,2014.0,
